Iteration 175, Temperature 120.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 169.24 seconds
Iteration 176, Temperature 114.05, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 170.20 seconds
Iteration 177, Temperature 108.34, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 171.15 seconds
Iteration 178, Temperature 102.93, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 172.10 seconds
Iteration 179, Temperature 97.78, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 173.06 seconds
Iteration 180, Temperature 92.89, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 174.02 seconds
Iteration 181, Temperature 88.25, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 174.97 seconds
Iteration 182, Temperature 83.83, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 175.92 seconds
Iteration 183, Temperature 79.64, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 176.87 seconds
Iteration 184, Temperature 75.66, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 177.83 seconds
Iteration 185, Temperature 71.88, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 178.78 seconds
Iteration 186, Temperature 68.28, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 179.73 seconds
Iteration 187, Temperature 64.87, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 180.68 seconds
Iteration 188, Temperature 61.63, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 181.62 seconds
Iteration 189, Temperature 58.54, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 182.57 seconds
Iteration 190, Temperature 55.62, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 183.52 seconds
Iteration 191, Temperature 52.84, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 184.48 seconds
Iteration 192, Temperature 50.19, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 185.42 seconds
Iteration 193, Temperature 47.68, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 186.37 seconds
Iteration 194, Temperature 45.30, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 187.31 seconds
Iteration 195, Temperature 43.04, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 188.26 seconds
Iteration 196, Temperature 40.88, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 189.21 seconds
Iteration 197, Temperature 38.84, Current Cost 50352718.00, Best Cost 50352718.00, Elapsed Time 190.16 seconds
