Iteration 68, Temperature 2499185.15, New Cost 50358702.0, Current Cost 50358702.00, Best Cost 41395607.00, Elapsed Time 69.42 seconds
Iteration 69, Temperature 2474193.30, New Cost 51358702.0, Current Cost 51358702.00, Best Cost 41395607.00, Elapsed Time 70.46 seconds
Iteration 70, Temperature 2449451.37, New Cost 50400583.0, Current Cost 50400583.00, Best Cost 41395607.00, Elapsed Time 71.50 seconds
Iteration 71, Temperature 2424956.85, New Cost 51400583.0, Current Cost 51400583.00, Best Cost 41395607.00, Elapsed Time 72.56 seconds
Iteration 72, Temperature 2400707.28, New Cost 52358702.0, Current Cost 52358702.00, Best Cost 41395607.00, Elapsed Time 73.62 seconds
Iteration 73, Temperature 2376700.21, New Cost 53358702.0, Current Cost 53358702.00, Best Cost 41395607.00, Elapsed Time 74.71 seconds
Iteration 74, Temperature 2352933.21, New Cost 52381778.0, Current Cost 52381778.00, Best Cost 41395607.00, Elapsed Time 75.82 seconds
Iteration 75, Temperature 2329403.88, New Cost 53381778.0, Current Cost 52381778.00, Best Cost 41395607.00, Elapsed Time 76.92 seconds
Iteration 76, Temperature 2306109.84, New Cost 53381778.0, Current Cost 53381778.00, Best Cost 41395607.00, Elapsed Time 77.99 seconds
Iteration 77, Temperature 2283048.74, New Cost 54381778.0, Current Cost 54381778.00, Best Cost 41395607.00, Elapsed Time 79.03 seconds
Iteration 78, Temperature 2260218.25, New Cost 55381778.0, Current Cost 54381778.00, Best Cost 41395607.00, Elapsed Time 80.08 seconds
Iteration 79, Temperature 2237616.07, New Cost 53431778.0, Current Cost 53431778.00, Best Cost 41395607.00, Elapsed Time 81.13 seconds
Iteration 80, Temperature 2215239.91, New Cost 54431778.0, Current Cost 54431778.00, Best Cost 41395607.00, Elapsed Time 82.18 seconds
Iteration 81, Temperature 2193087.51, New Cost 55431778.0, Current Cost 55431778.00, Best Cost 41395607.00, Elapsed Time 83.24 seconds
Iteration 82, Temperature 2171156.63, New Cost 56391486.0, Current Cost 56391486.00, Best Cost 41395607.00, Elapsed Time 84.31 seconds
Iteration 83, Temperature 2149445.07, New Cost 57341486.0, Current Cost 57341486.00, Best Cost 41395607.00, Elapsed Time 85.35 seconds
Iteration 84, Temperature 2127950.62, New Cost 58341486.0, Current Cost 57341486.00, Best Cost 41395607.00, Elapsed Time 86.42 seconds
Iteration 85, Temperature 2106671.11, New Cost 56341486.0, Current Cost 56341486.00, Best Cost 41395607.00, Elapsed Time 87.47 seconds
