Temperature: 122324.055751, Total Cost: 50748411, Elapsed Time: 9.231797 seconds
Temperature: 119877.574636, Total Cost: 52573162, Elapsed Time: 9.317989 seconds
Temperature: 117480.023143, Total Cost: 52849833, Elapsed Time: 9.391799 seconds
Temperature: 115130.422680, Total Cost: 51784619, Elapsed Time: 9.491237 seconds
Temperature: 112827.814226, Total Cost: 50166153, Elapsed Time: 9.610331 seconds
Temperature: 110571.257942, Total Cost: 52069688, Elapsed Time: 9.756044 seconds
Temperature: 108359.832783, Total Cost: 51842804, Elapsed Time: 9.842173 seconds
Temperature: 106192.636127, Total Cost: 51723162, Elapsed Time: 9.902251 seconds
Temperature: 104068.783405, Total Cost: 50448291, Elapsed Time: 9.976825 seconds
Temperature: 101987.407737, Total Cost: 51926995, Elapsed Time: 10.041726 seconds
Temperature: 99947.659582, Total Cost: 50928518, Elapsed Time: 10.100718 seconds
Temperature: 97948.706390, Total Cost: 52069688, Elapsed Time: 10.175464 seconds
Temperature: 95989.732263, Total Cost: 49857304, Elapsed Time: 10.241789 seconds
Temperature: 94069.937617, Total Cost: 53334125, Elapsed Time: 10.316334 seconds
Temperature: 92188.538865, Total Cost: 52849833, Elapsed Time: 10.392467 seconds
Temperature: 90344.768088, Total Cost: 51033405, Elapsed Time: 10.461219 seconds
Temperature: 88537.872726, Total Cost: 52406603, Elapsed Time: 10.529547 seconds
Temperature: 86767.115271, Total Cost: 49825120, Elapsed Time: 10.606126 seconds
Temperature: 85031.772966, Total Cost: 51692002, Elapsed Time: 10.704244 seconds
Temperature: 83331.137507, Total Cost: 50432904, Elapsed Time: 10.793557 seconds
Temperature: 81664.514757, Total Cost: 52406603, Elapsed Time: 10.897358 seconds
Temperature: 80031.224461, Total Cost: 51784619, Elapsed Time: 10.974869 seconds
Temperature: 78430.599972, Total Cost: 50432904, Elapsed Time: 11.056266 seconds
Temperature: 76861.987973, Total Cost: 52406603, Elapsed Time: 11.131174 seconds
Temperature: 75324.748213, Total Cost: 52416202, Elapsed Time: 11.207859 seconds
Temperature: 73818.253249, Total Cost: 51804766, Elapsed Time: 11.267378 seconds
